spatial_info_id,installation_location,road_name,longitude,latitude,district_code,district_name,parking_violation_note,weekday_start_time_am,weekday_start_time_pm,weekday_end_time_am,weekday_end_time_pm,saturday_start_time_am,saturday_start_time_pm,saturday_end_time_am,saturday_end_time_pm,holiday_start_time_am,holiday_start_time_pm,holiday_end_time_am,holiday_end_time_pm
111,종로 다보 앞,종로,128.5914647,35.86963273,1,중구,연중무휴,9:00,-,22:00,-,9:00,-,22:00,-,9:00,-,22:00,-
112,동성1길(신헤어라인),동성로6길,128.5979244,35.86862337,1,중구,연중무휴,9:00,-,22:00,-,9:00,-,22:00,-,9:00,-,22:00,-
113,대봉동우체국,대봉로,128.6016765,35.857898,1,중구,연중무휴,9:00,-,22:00,-,9:00,-,22:00,-,9:00,-,22:00,-
114,북성로 #1(한일유료주차장앞),북성로,128.5941102,35.87445223,1,중구,주말  공휴일 단속안함,9:00,-,19:00,-,-,-,-,-,-,-,-,-
115,북성로 #2(덕산도로앞),북성로,128.5916618,35.87419393,1,중구,주말  공휴일 단속안함,9:00,-,19:00,-,-,-,-,-,-,-,-,-
116,북성로 #3(삼양베어링상사앞),북성로,128.5896366,35.87397988,1,중구,주말  공휴일 단속안함,9:00,-,19:00,-,-,-,-,-,-,-,-,-
117,인교동 #1(세신종합볼트앞),북성로,128.585848,35.8736874,1,중구,주말  공휴일 단속안함,9:00,-,19:00,-,-,-,-,-,-,-,-,-
118,인교동 #2(성진엔텍앞),북성로,128.5826572,35.87346843,1,중구,주말  공휴일 단속안함,9:00,-,19:00,-,-,-,-,-,-,-,-,-
119,수창초 정문 앞,달성로22길,128.5838036,35.87490604,1,중구,주말  공휴일 단속안함,9:00,-,19:00,-,-,-,-,-,-,-,-,-
120,반월당 삼정그린코아,달구벌대로418길,128.592168,35.86416259,1,중구,연중무휴,9:00,-,22:00,-,9:00,-,22:00,-,9:00,-,22:00,-
121,대구초등학교 서편,명륜로23길,128.594823,35.86415056,1,중구,연중무휴,9:00,-,22:00,-,9:00,-,22:00,-,9:00,-,22:00,-
122,현대백화점 대구점 앞,달구벌대로,128.5906908,35.86610165,1,중구,연중무휴,9:00,-,22:00,-,9:00,-,22:00,-,9:00,-,22:00,-
123,동산병원 앞,달성로,128.5823364,35.86916381,1,중구,연중무휴,9:00,-,22:00,-,9:00,-,22:00,-,9:00,-,22:00,-
124,경대병원건너(두산약국 앞),동덕로,128.6033039,35.8659163,1,중구,연중무휴,9:00,-,22:00,-,9:00,-,22:00,-,9:00,-,22:00,-
125,현대백화점 건너편(삼화안전주차장 앞),달구벌대로,128.5904111,35.86590955,1,중구,연중무휴,9:00,-,22:00,-,9:00,-,22:00,-,9:00,-,22:00,-
126,봉산문화회관입구(미래에셋증권 앞),봉산문화길,128.5961872,35.86483052,1,중구,연중무휴,9:00,-,22:00,-,9:00,-,22:00,-,9:00,-,22:00,-
127,GS 중앙점 앞(아카데미극장 맞은편),중앙대로77길,128.5935961,35.86825167,1,중구,연중무휴,9:00,-,22:00,-,9:00,-,22:00,-,9:00,-,22:00,-
128,중앙로역(대한보청기 앞),중앙대로,128.5937456,35.86960381,1,중구,연중무휴,9:00,-,22:00,-,9:00,-,22:00,-,9:00,-,22:00,-
129,롯데영프라자 부근(구.한일극장 맞은편),국채보상로,128.5961197,35.8707797,1,중구,연중무휴,9:00,-,22:00,-,9:00,-,22:00,-,9:00,-,22:00,-
130,곽병원 부근(한양검정고시학원 앞),국채보상로,128.5894835,35.87038032,1,중구,연중무휴,9:00,-,22:00,-,9:00,-,22:00,-,9:00,-,22:00,-
131,동도교회(제2신천교),태평로,128.6093876,35.87315928,1,중구,연중무휴,9:00,-,22:00,-,9:00,-,22:00,-,9:00,-,22:00,-
132,서문시장5지구 앞,큰장로,128.5778222,35.86830973,1,중구,연중무휴,9:00,-,22:00,-,9:00,-,22:00,-,9:00,-,22:00,-
133,방천시장 입구,달구벌대로,128.6064814,35.86227921,1,중구,연중무휴,9:00,-,22:00,-,9:00,-,22:00,-,9:00,-,22:00,-
134,동산네거리(새동산약국),달성로,128.5823056,35.87051511,1,중구,연중무휴,9:00,-,22:00,-,9:00,-,22:00,-,9:00,-,22:00,-
135,태왕스파크 앞,동성로3길,128.5982204,35.86897127,1,중구,연중무휴,9:00,-,22:00,-,9:00,-,22:00,-,9:00,-,22:00,-
135,테스트용 제목,테스트용 도로명,128.6080724,36.0007415,5,칠곡군,구간 (테스트 12 ↔ 테스트 48-1),9:00,-,22:00,-,9:00,-,22:00,-,9:00,-,22:00,-
135,테스트용2 제목,테스트용2 도로명,128.6004601,36.0002718,5,칠곡군,구간 (테스트용2 212 ↔ 테스트2 248-1),9:00,-,22:00,-,9:00,-,22:00,-,9:00,-,22:00,-
