위반장소명,count
대림동 887 ,1
대림동 887-1 ,1
대림동 888-2 ,1
대림동 888-4 ,39
대림동 889 ,2
대림동 890-2 ,21
대림동 890-4 ,4
대림동 890-6 ,2
대림동 892-4 ,2
대림동 893 ,10
대림동 895 ,18
대림동 896 ,150
대림동 897 ,5
대림동 898 ,3
대현남로8길,2
대현동 536,1
대현로,28
더센트로데시앙,224
덕곡동 184-1 ,2
덕성초등학교,1074
덕성초등학교 ,17
도동 3-22 ,3
도동 471 ,1
도동 802-4 ,1
도동 89-2 ,2
도동 9-17 ,2
도동 978-111 ,1
도동 978-22 ,3
도동 978-23 ,4
도동 978-241 ,1
도동 978-284 ,1
도동 978-42 ,1
도동 978-57 ,1
도동 978-62 ,2
도동 978-63 ,1
도동 978-92 ,2
도평로,62
동구시장,100
동구시장 북편,80
동구청역 ,1
동내동 1112 ,1
동내동 1115 ,1
동내동 1115-1 ,5
동내동 1115-3 ,1
동내동 1118-4 ,1
동내동 1119 ,1
동내동 1119-3 ,1
동내동 112-1 ,1
동내동 1120 ,13
동내동 1121 ,3
동내동 1121-1 ,10
동내동 1121-3 ,3
동내동 1124 ,1
동내동 1129 ,1
동내동 1132 ,2
동내동 1140 ,1
동대구로,645
동대구로 체육공원,75
동대구로83길,134
동대구로85길,402
동대구로99길,64
동대구역,42
동대구역,6
동대구역,7
동대구역,6
동대구역,2
동대구역,1
동대구역,111
동대구역,17
동대구역,299
동대구역,145
동대구역,2
동대구역,173
동대구역,2
동대구역,233
동대구역,132
동대구역,14
동대구역,73
동대구초등학교,109
동부로,319
동부로 26,1
동부로15길,106
동부로16길,2
동부로19길,1
동부로21길,15
동부로22길,365
동부로24길,25
동부로26길,867
동부로28길,31
동부로30길,860
동부로32길,110
동부로3길,7
동부로5길,5
동부로6길,3
동부소방서 ,23
동부초등학교,17
동부초등학교 ,1
동북로,24
동북로 460,2
동북로72길,7
동신새마을금고,123
동신초등학교,117
동신초등학교 ,1
동촌농협 방촌지점 ,64
동촌로,53
동촌로10길,1
동촌로11길,1
동촌로16길,44
동촌로25길,17
동촌로41길,1
동촌로42길,1
동촌로54길,99
동촌로54길 13,10
동촌로56길,12
동촌로58길,25
동촌역사로,29
동촌역사로2길,26
동촌역사로3길,4
동촌역사로4길,1
동촌초등학교,24
동호동 106-25 ,1
동호동 106-34,1
동호동 106-34 ,4
동호동 106-5 ,1
동호동 106-59 ,4
동호동 106-73 ,1
동호동 106-84 ,1
동호동 109-17,1
동호동 118-13,7
동호동 118-2 ,1
동호동 153 ,1
